split,game,clip,frame_idx,status,is_bounce,y_soft,x_norm,y_norm,vx,vy,ax,ay,speed,accel_mag,dtheta,visible,interp,y_diff_back_1,y_diff_fut_1,x_diff_back_1,x_diff_fut_1,y_div_1,x_div_1,y_diff_back_2,y_diff_fut_2,x_diff_back_2,x_diff_fut_2,y_div_2,x_div_2,y_diff_back_3,y_diff_fut_3,x_diff_back_3,x_diff_fut_3,y_div_3,x_div_3,y_diff_back_4,y_diff_fut_4,x_diff_back_4,x_diff_fut_4,y_div_4,x_div_4,y_diff_back_5,y_diff_fut_5,x_diff_back_5,x_diff_fut_5,y_div_5,x_div_5,y_diff_back_6,y_diff_fut_6,x_diff_back_6,x_diff_fut_6,y_div_6,x_div_6,y_diff_back_7,y_diff_fut_7,x_diff_back_7,x_diff_fut_7,y_div_7,x_div_7,y_diff_back_8,y_diff_fut_8,x_diff_back_8,x_diff_fut_8,y_div_8,x_div_8,y_diff_back_9,y_diff_fut_9,x_diff_back_9,x_diff_fut_9,y_div_9,x_div_9,y_diff_back_10,y_diff_fut_10,x_diff_back_10,x_diff_fut_10,y_div_10,x_div_10
train,game9,Clip1,0,0,0,5.709040105864101e-171,0.4625,0.09583333,0.2857143,-8.035714,-0.04761905,0.4047619,8.040792,0.4075534,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,1.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0
train,game9,Clip1,1,0,0,5.84633285607385e-163,0.4625,0.08472222,0.23809524,-7.6309524,-0.04761905,0.4047619,7.634666,0.4075534,-0.004349455,1.0,0.0,-8.0,6.0,0.0,0.0,-0.7500001,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0
train,game9,Clip1,2,0,0,3.838700348963485e-155,0.4625,0.07638889,0.1904762,-7.2261906,-0.04761905,0.4047619,7.2287006,0.4075534,-0.004838088,1.0,0.0,-6.0,8.0,0.0,1.0,-1.3333336,20.0,-14.0,15.0,0.0,1.0,-1.0714287,20.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
train,game9,Clip1,3,0,0,1.616088413820251e-147,0.46328124,0.06527778,0.14285715,-6.821429,-0.04761905,0.4047619,6.822924,0.4075534,-0.0054136934,1.0,0.0,-8.0,7.0,1.0,0.0,-0.8750001,0.0,-14.0,14.0,1.0,1.0,-1.0000001,0.999999,-22.0,18.0,1.0,0.0,-0.8181819,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
train,game9,Clip1,4,0,0,4.362407702468866e-140,0.46328124,0.055555556,0.14285715,-6.321429,-0.04761905,0.5952381,6.3230424,0.59713984,0.0016556765,1.0,0.0,-7.0,7.0,0.0,1.0,-1.0000001,20.0,-15.0,11.0,1.0,0.0,-0.7333334,0.0,-21.0,16.0,1.0,0.0,-0.7619048,0.0,-29.0,20.0,1.0,1.0,-0.6896552,0.999999,0.0,24.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0
train,game9,Clip1,5,0,0,7.550359258120274e-133,0.4625,0.045833334,-5.3078986e-16,-5.785714,-0.14285715,0.85714287,5.785714,0.8689661,-0.022595024,1.0,0.0,-7.0,4.0,1.0,1.0,-0.57142866,0.999999,-14.0,9.0,1.0,1.0,-0.6428572,0.999999,-22.0,13.0,0.0,0.0,-0.5909091,0.0,-28.0,17.0,0.0,1.0,-0.60714287,20.0,-36.0,21.0,0.0,0.0,-0.5833334,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0
train,game9,Clip1,6,0,0,8.378942533819369e-126,0.46328124,0.04027778,-0.035714287,-5.071429,0.071428575,0.6666667,5.071554,0.6704823,-0.007042137,1.0,0.0,-4.0,5.0,1.0,0.0,-1.2500004,0.0,-11.0,9.0,0.0,1.0,-0.8181819,20.0,-18.0,13.0,0.0,0.0,-0.72222227,0.0,-26.0,17.0,1.0,1.0,-0.6538462,0.999999,-32.0,18.0,1.0,0.0,-0.5625,0.0,-40.0,20.0,1.0,1.0,-0.5,0.999999,0.0,20.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
train,game9,Clip1,7,0,0,5.961987174639196e-119,0.46328124,0.033333335,-0.071428575,-4.535714,-0.04761905,0.4047619,4.536277,0.4075534,-0.0087045925,1.0,0.0,-5.0,4.0,0.0,1.0,-0.80000013,20.0,-9.0,8.0,1.0,0.0,-0.888889,0.0,-16.0,12.0,0.0,1.0,-0.75000006,20.0,-23.0,13.0,0.0,0.0,-0.56521744,0.0,-31.0,15.0,1.0,1.0,-0.48387098,0.999999,-37.0,15.0,1.0,0.0,-0.4054054,0.0,-45.0,16.0,1.0,1.0,-0.35555556,0.999999,0.0,15.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
train,game9,Clip1,8,0,0,2.720026237617272e-112,0.4625,0.027777778,0.035714287,-3.857143,-0.023809524,0.47619048,3.8573081,0.47678533,0.025005724,1.0,0.0,-4.0,4.0,1.0,1.0,-1.0000002,0.999999,-9.0,8.0,1.0,0.0,-0.888889,0.0,-13.0,9.0,0.0,1.0,-0.6923078,20.0,-20.0,11.0,1.0,0.0,-0.55,0.0,-27.0,11.0,1.0,1.0,-0.40740743,0.999999,-35.0,12.0,0.0,0.0,-0.34285715,0.0,-41.0,11.0,0.0,1.0,-0.2682927,20.0,-49.0,10.0,0.0,1.0,-0.20408164,20.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
train,game9,Clip1,9,0,0,7.9567438919514e-106,0.46328124,0.022222223,-0.10714286,-3.357143,0.023809524,0.71428573,3.3588521,0.7146824,-0.04116306,1.0,0.0,-4.0,4.0,1.0,1.0,-1.0000002,0.999999,-8.0,5.0,0.0,0.0,-0.62500006,0.0,-13.0,7.0,0.0,1.0,-0.53846157,20.0,-17.0,7.0,1.0,0.0,-0.41176474,0.0,-24.0,8.0,0.0,1.0,-0.33333334,20.0,-31.0,7.0,0.0,0.0,-0.22580646,0.0,-39.0,6.0,1.0,0.0,-0.15384616,0.0,-45.0,4.0,1.0,0.0,-0.08888889,0.0,-53.0,1.0,1.0,0.0,-0.018867925,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
